time,open,high,low,close,mean,volume,adjMean
1752184775,163.82,163.84,163.82,163.8299,1897.1,1545,1897.1
1752184790,163.84,163.85,163.84,163.8499,1689.3,680,1689.3
1752184795,163.82,163.82,163.82,163.82,891.2,371,891.2
1752184800,163.81,163.81,163.8,163.8,931,498,931
1752184810,163.82,163.82,163.82,163.82,949.3,396,949.3
1752184815,163.82,163.82,163.82,163.82,1106.8,1675,1106.8
1752184820,163.8,163.81,163.8,163.8,1229.6,2216,1229.6
1752184830,163.81,163.81,163.81,163.81,1239.7,201,1239.7
1752184835,163.82,163.82,163.82,163.82,1196.2,250,1196.2
1752184845,163.8398,163.8398,163.8398,163.8398,878.2,950,878.2
1752184850,163.81,163.8101,163.81,163.8101,763.5,398,763.5
1752184860,163.81,163.87,163.81,163.87,885.4,1899,885.4
1752184865,163.86,163.89,163.81,163.81,1044.4,1961,1044.4
1752184875,163.83,163.83,163.83,163.83,1074.6,800,1074.6
1752184880,163.83,163.83,163.829,163.83,1305,2700,1305
1752184890,163.83,163.85,163.83,163.85,1197.5,600,1197.5
1752184895,163.88,163.88,163.8796,163.8796,1044.3,684,1044.3
1752184900,163.85,163.85,163.85,163.85,1034.4,102,1034.4
1752184905,163.85,163.85,163.85,163.85,1029.4,200,1029.4
1752184910,163.85,163.85,163.85,163.85,964.6,302,964.6
1752184915,163.85,163.86,163.85,163.86,1043.9,1191,1043.9
1752184920,163.85,163.85,163.85,163.85,919.4,654,919.4
1752184930,163.8998,163.8998,163.8998,163.8998,823.8,1005,823.8
1752184940,163.83,163.83,163.83,163.83,753.8,100,753.8
1752184955,163.85,163.85,163.85,163.85,564.8,810,564.8
1752184960,163.87,163.87,163.87,163.87,546.8,420,546.8
1752184970,163.849,163.85,163.849,163.85,593.1,1147,593.1
1752184975,163.831,163.831,163.78,163.82,1077.5,4946,1077.5
1752184995,163.79,163.79,163.79,163.79,1088,305,1088
1752185000,163.79,163.79,163.79,163.79,1117.8,600,1117.8
1752185005,163.79,163.79,163.79,163.79,1048.7,500,1048.7
1752185010,163.79,163.79,163.79,163.79,993.3,100,993.3
1752185025,163.77,163.77,163.77,163.77,969.3,765,969.3
1752185030,163.78,163.78,163.78,163.78,1007.3,480,1007.3
1752185040,163.771,163.771,163.77,163.77,966.3,400,966.3
1752185045,163.77,163.77,163.77,163.77,966.3,420,966.3
1752185055,163.77,163.77,163.77,163.77,1041.6,1900,1041.6
1752185060,163.77,163.77,163.74,163.77,1059.5,5125,1059.5
1752185065,163.77,163.77,163.74,163.74,1450.8,4218,1450.8
1752185080,163.77,163.77,163.77,163.77,1440.8,500,1440.8
1752185100,163.78,163.78,163.78,163.78,1440.8,500,1440.8
1752185105,163.7792,163.7793,163.7792,163.7793,1508,772,1508
1752185110,163.75,163.78,163.75,163.78,1490.5,590,1490.5
1752185115,163.79,163.8,163.78,163.8,1547.4,1049,1547.4
1752185120,163.8,163.8,163.8,163.8,1517.4,100,1517.4
1752185135,163.7501,163.7501,163.7501,163.7501,1485.4,100,1485.4
1752185140,163.76,163.76,163.76,163.76,1312.6,172,1312.6
1752185145,163.78,163.78,163.78,163.78,817.6,175,817.6
1752185155,163.8,163.8,163.8,163.8,420.8,250,420.8
1752185170,163.78,163.78,163.78,163.78,419.1,483,419.1
1752185175,163.78,163.7802,163.78,163.7802,439.1,700,439.1
1752185180,163.8,163.8,163.8,163.8,401.9,400,401.9
1752185210,163.81,163.8488,163.81,163.8488,432.9,900,432.9
1752185215,163.85,163.85,163.85,163.85,340.2,122,340.2
1752185225,163.81,163.81,163.8,163.81,400.2,700,400.2
1752185235,163.8,163.82,163.79,163.82,620.6,2304,620.6
1752185250,163.819,163.819,163.81,163.81,623.4,200,623.4
1752185255,163.77,163.77,163.77,163.77,715.9,1100,715.9
1752185265,163.77,163.8343,163.77,163.8343,830.9,1400,830.9
1752185270,163.77,163.77,163.74,163.75,919.8,1372,919.8
1752185285,163.8,163.8,163.8,163.8,889.4,396,889.4
1752185315,163.74,163.74,163.74,163.74,888.9,395,888.9
1752185325,163.74,163.76,163.74,163.76,820.8,219,820.8
1752185330,163.7311,163.7311,163.7311,163.7311,818.6,100,818.6
1752185335,163.73,163.73,163.73,163.73,788.2,396,788.2
1752185345,163.7,163.72,163.67,163.71,793.2,2354,793.2
1752185350,163.75,163.75,163.75,163.75,783.2,100,783.2
1752185365,163.73,163.75,163.71,163.74,811.6,1384,811.6
1752185390,163.78,163.79,163.78,163.79,767.7,961,767.7
1752185405,163.77,163.77,163.75,163.75,753.6,1231,753.6
1752185415,163.79,163.79,163.75,163.75,910,1960,910
1752185425,163.77,163.77,163.77,163.77,880.5,100,880.5
1752185430,163.77,163.77,163.77,163.77,896.6,380,896.6
1752185440,163.79,163.79,163.79,163.79,952.3,657,952.3
1752185465,163.789,163.789,163.789,163.789,922.7,100,922.7
1752185475,163.79,163.8,163.79,163.8,763.2,759,763.2
1752185485,163.79,163.79,163.79,163.79,853.2,1000,853.2
1752185490,163.76,163.76,163.75,163.75,1039.9,3251,1039.9
1752185495,163.73,163.73,163.73,163.73,953.8,100,953.8
1752185500,163.74,163.74,163.74,163.74,880.7,500,880.7
1752185510,163.75,163.7506,163.75,163.7506,861.3,1766,861.3
1752185515,163.75,163.77,163.75,163.77,912.4,611,912.4
1752185530,163.761,163.761,163.76,163.76,897.4,230,897.4
1752185540,163.77,163.77,163.77,163.77,841.7,100,841.7
1752185555,163.8,163.8,163.8,163.8,855.2,235,855.2
1752185580,163.77,163.77,163.77,163.77,803.6,243,803.6
1752185585,163.77,163.8,163.77,163.8,812.8,1092,812.8
1752185590,163.8,163.8,163.8,163.8,556.4,687,556.4
1752185595,163.8,163.8,163.8,163.8,556.4,100,556.4
1752185600,163.8,163.8,163.7992,163.8,603.4,970,603.4
1752185605,163.7807,163.7807,163.7807,163.7807,441.8,150,441.8
1752185620,163.8,163.8,163.8,163.8,396.7,160,396.7
1752185630,163.8,163.83,163.8,163.83,445.7,720,445.7
1752185635,163.8001,163.8001,163.8001,163.8001,454.6,189,454.6
1752185660,163.82,163.82,163.82,163.82,454.2,231,454.2
1752185675,163.83,163.83,163.83,163.83,440.5,106,440.5
1752185680,163.829,163.83,163.829,163.8299,370.1,388,370.1
1752185685,163.83,163.83,163.82,163.82,361.1,597,361.1
1752185690,163.83,163.83,163.83,163.83,361.1,100,361.1
1752185730,163.84,163.84,163.84,163.84,284.1,200,284.1
1752185740,163.84,163.84,163.84,163.84,289.1,200,289.1
1752185745,163.8399,163.84,163.8399,163.84,377.6,1045,377.6
1752185750,163.84,163.84,163.8399,163.8399,336.8,312,336.8
1752185755,163.8397,163.8397,163.8397,163.8397,337.9,200,337.9
1752185760,163.84,163.84,163.8301,163.8301,414.8,1000,414.8
1752185765,163.8301,163.8301,163.8301,163.8301,444.2,400,444.2
1752185770,163.84,163.85,163.84,163.85,601.4,1960,601.4
1752185785,163.85,163.85,163.84,163.85,633.4,917,633.4
1752185795,163.85,163.85,163.85,163.85,645.1,217,645.1
1752185800,163.85,163.85,163.85,163.85,665.1,400,665.1
1752185815,163.84,163.84,163.84,163.84,795.1,1500,795.1
1752185850,163.9,163.9,163.9,163.9,700.6,100,700.6
1752185860,163.86,163.86,163.86,163.86,682.4,130,682.4
1752185880,163.87,163.87,163.87,163.87,722.4,600,722.4
1752185890,163.8608,163.8608,163.8608,163.8608,720.1,977,720.1
1752185900,163.89,163.89,163.8897,163.89,755.6,755,755.6
1752185910,163.89,163.9,163.8873,163.8873,630.6,710,630.6
1752185920,163.9,163.9,163.9,163.9,548.9,100,548.9
1752185935,163.88,163.88,163.8514,163.88,646.5,1193,646.5
1752185990,163.86,163.88,163.86,163.88,650,435,650
1752185995,163.87,163.88,163.87,163.88,549.1,491,549.1
1752186000,163.87,163.87,163.87,163.87,549.1,100,549.1
1752186005,163.9,163.9,163.9,163.9,686.1,1500,686.1
1752186010,163.89,163.89,163.89,163.89,636.1,100,636.1
1752186100,163.88,163.88,163.88,163.88,562.8,244,562.8
1752186125,163.89,163.89,163.89,163.89,505.4,181,505.4
1752186135,163.87,163.87,163.87,163.87,484.4,500,484.4
1752186155,163.87,163.87,163.87,163.87,484.4,100,484.4
1752186160,163.87,163.87,163.87,163.87,410.2,451,410.2
1752186165,163.86,163.86,163.84,163.84,591.3,2246,591.3
1752186175,163.87,163.87,163.81,163.81,564.4,222,564.4
1752186185,163.84,163.84,163.84,163.84,564.4,100,564.4
1752186235,163.87,163.87,163.87,163.87,428.2,138,428.2
1752186240,163.842,163.842,163.842,163.842,428.2,100,428.2
1752186245,163.88,163.88,163.88,163.88,445.3,415,445.3
1752186285,163.8602,163.8602,163.8602,163.8602,442.2,150,442.2
1752186305,163.87,163.87,163.87,163.87,804.8,4126,804.8
1752186310,163.87,163.87,163.87,163.87,804.8,100,804.8
1752186350,163.87,163.87,163.87,163.87,792.9,332,792.9
